B20	Sicilian Defense	1. e4 c5
B20	Sicilian Defense: Amazon Attack	1. e4 c5 2. Qg4
B20	Sicilian Defense: Big Clamp Formation	1. e4 c5 2. d3 Nc6 3. c3 d6 4. f4
B20	Sicilian Defense: Bowdler Attack	1. e4 c5 2. Bc4
B20	Sicilian Defense: Brick Variation	1. e4 c5 2. Nh3
B20	Sicilian Defense: Gloria Variation	1. e4 c5 2. c4 d6 3. Nc3 Nc6 4. g3 h5
B20	Sicilian Defense: Grob Variation	1. e4 c5 2. g4
B20	Sicilian Defense: Keres Variation	1. e4 c5 2. Ne2
B20	Sicilian Defense: King David's Opening	1. e4 c5 2. Ke2
B20	Sicilian Defense: Kronberger Variation	1. e4 c5 2. Na3
B20	Sicilian Defense: Lasker-Dunne Attack	1. e4 c5 2. g3
B20	Sicilian Defense: Mengarini Variation	1. e4 c5 2. a3
B20	Sicilian Defense: Myers Attack, with a4	1. e4 c5 2. a4
B20	Sicilian Defense: Myers Attack, with h4	1. e4 c5 2. h4
B20	Sicilian Defense: Snyder Variation	1. e4 c5 2. b3
B20	Sicilian Defense: Snyder Variation, Queen Fianchetto Variation	1. e4 c5 2. b3 b6
B20	Sicilian Defense: Staunton-Cochrane Variation	1. e4 c5 2. c4
B21	Sicilian Defense: McDonnell Attack	1. e4 c5 2. f4
B22	Sicilian Defense: Alapin Variation	1. e4 c5 2. c3
B22	Sicilian Defense: Alapin Variation, Barmen Defense	1. e4 c5 2. c3 d5 3. exd5 Qxd5
B22	Sicilian Defense: Alapin Variation, Barmen Defense, Central Exchange	1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 cxd4 5. cxd4 Nc6 6. Nf3 Bg4
B22	Sicilian Defense: Alapin Variation, Barmen Defense, Endgame Variation	1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 cxd4 5. cxd4 Nc6 6. Nf3 Bg4 7. Nc3 Bxf3 8. gxf3 Qxd4 9. Qxd4 Nxd4
B22	Sicilian Defense: Alapin Variation, Barmen Defense, Milner-Barry Attack	1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3 cxd4 6. cxd4 e5 7. Nc3 Bb4 8. Be2
B22	Sicilian Defense: Alapin Variation, Barmen Defense, Modern Line	1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Bg4
B22	Sicilian Defense: Alapin Variation, Smith-Morra Declined	1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 cxd4
B22	Sicilian Defense: Alapin Variation, Stoltz Attack	1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. Bc4 Nb6 6. Bb3
B22	Sicilian Defense: Alapin Variation, Stoltz Attack, Ivanchuk Line	1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. Bc4 Nb6 6. Bb3 c4 7. Bc2 Qc7 8. Qe2 g5
